sample,surfaces,ordered_pairs,unit_vx,coincidence_radius_vx,duplicate_pairs,max_distinct_coincident,min_duplicate_coincident
PHerc0009B,18,306,23.0781,2.3078,0,0.045709,
PHerc0139,37,1332,15.2173,1.5217,2,0.005728,0.81593
PHerc0332,2,2,42.3071,4.2307,0,0.001058,
PHerc0343P,8,56,15.947,1.5947,0,0.000625,
PHerc0500P2,39,1482,11.6353,1.1635,0,0.1265,
PHerc0800,6,30,20.2245,2.0225,0,0.000645,
PHerc0814,12,132,13.7452,1.3745,0,0.031758,
PHerc1447,15,210,38.6176,3.8618,0,0.096027,
PHercMANBp,11,110,76.2392,7.6239,0,0.024108,
PHercParis4,39,1482,28.4219,2.8422,0,0.011785,
